"DEATHS","MONTH","COUNTRIESANDTERRITORIES"
291,"2020-07","Serbia"
3,"2020-05","Sri_Lanka"
0,"2020-02","Sri_Lanka"
1434,"2020-05","Turkey"
404,"2020-11","Sudan"
234,"2020-05","Sudan"
6,"2020-03","Puerto_Rico"
5,"2020-11","Qatar"
17,"2020-09","Qatar"
45,"2020-09","Uganda"
9,"2020-04","Qatar"
2075,"2020-10","Romania"
7,"2020-07","Sierra_Leone"
1132,"2020-11","Sweden"
2542,"2020-12","Ukraine"
854,"2020-08","Ukraine"
0,"2020-08","Singapore"
1,"2020-07","Singapore"
11871,"2020-11","Russia"
4636,"2020-07","Russia"
0,"2019-12","Singapore"
0,"2020-10","Sint_Maarten"
2,"2020-08","Sint_Maarten"
0,"2020-07","Sint_Maarten"
239,"2020-04","Ukraine"
11,"2020-03","Ukraine"
74,"2020-10","United_Arab_Emirates"
306,"2020-12","Slovakia"
5,"2020-08","Slovakia"
0,"2020-01","Switzerland"
78,"2020-12","Syria"
31,"2020-08","United_Arab_Emirates"
52,"2020-06","United_Arab_Emirates"
13,"2020-09","Rwanda"
32,"2020-07","Syria"
1,"2020-04","Syria"
0,"2020-07","Taiwan"
152,"2020-04","Panama"
0,"2020-10","Papua_New_Guinea"
2,"2020-07","Papua_New_Guinea"
0,"2020-06","Papua_New_Guinea"
0,"2020-12","Saint_Kitts_and_Nevis"
5,"2020-10","Somalia"
1,"2020-02","Taiwan"
0,"2020-01","Taiwan"
7,"2020-10","Tajikistan"
7,"2020-09","Tajikistan"
5,"2020-06","Tajikistan"
0,"2020-06","Saint_Vincent_and_the_Grenadines"
2639,"2020-09","South_Africa"
5133,"2020-06","Peru"
24,"2020-03","Peru"
0,"2020-06","San_Marino"
100,"2020-04","South_Africa"
2,"2020-12","Togo"
7,"2020-10","Togo"
1537,"2020-08","Philippines"
12,"2020-06","South_Korea"
392,"2020-05","Philippines"
0,"2019-12","Philippines"
0,"2020-04","Sao_Tome_and_Principe"
9,"2020-07","South_Sudan"
505,"2020-10","Portugal"
240,"2020-09","Venezuela"
7,"2020-04","Venezuela"
3,"2020-03","Venezuela"
0,"2020-12","Vietnam"
32,"2020-08","Vietnam"
0,"2020-07","Western_Sahara"
1,"2020-12","Yemen"
24,"2020-09","Yemen"
4,"2020-05","Zambia"
34,"2020-11","Zimbabwe"
14,"2020-10","Zimbabwe"
3,"2020-06","Zimbabwe"
11336,"2020-05","United_Kingdom"
23999,"2020-04","United_Kingdom"
0,"2020-02","United_Kingdom"
0,"2020-12","United_Republic_of_Tanzania"
0,"2020-11","United_Republic_of_Tanzania"
0,"2020-09","United_Republic_of_Tanzania"
42815,"2020-05","United_States_of_America"
57796,"2020-04","United_States_of_America"
2,"2020-07","United_States_Virgin_Islands"
14,"2020-12","Uruguay"
10,"2020-10","Uruguay"
25,"2020-06","Albania"
0,"2019-12","Algeria"
484,"2020-06","Afghanistan"
3,"2020-04","Antigua_and_Barbuda"
7681,"2020-11","Argentina"
9,"2020-05","Andorra"
0,"2020-04","Angola"
271,"2020-09","Australia"
298,"2020-12","Armenia"
19,"2020-03","Australia"
15,"2020-07","Austria"
73,"2020-10","Bahrain"
43,"2020-08","Bahrain"
90,"2020-08","Azerbaijan"
38,"2020-05","Azerbaijan"
4,"2020-03","Azerbaijan"
0,"2020-12","Bahamas"
29,"2020-08","Bahamas"
0,"2020-06","Barbados"
7,"2020-04","Barbados"
166,"2020-07","Belarus"
158,"2020-06","Belarus"
0,"2020-03","Belarus"
11,"2020-08","Belize"
2,"2020-11","Benin"
16,"2020-06","Benin"
2,"2020-04","Benin"
0,"2020-03","Benin"
0,"2020-05","Bhutan"
56,"2020-04","Bosnia_and_Herzegovina"
29565,"2020-08","Brazil"
0,"2020-04","Bonaire, Saint Eustatius and Saba"
0,"2020-11","Brunei_Darussalam"
1,"2020-06","Brunei_Darussalam"
1,"2020-05","Brunei_Darussalam"
2560,"2020-11","Bulgaria"
201,"2020-09","Bulgaria"
151,"2020-07","Bulgaria"
0,"2020-09","Burundi"
0,"2020-06","Burundi"
1,"2020-04","Burundi"
2,"2020-08","Burkina_Faso"
12,"2020-03","Burkina_Faso"
74,"2020-07","Cameroon"
130,"2020-05","Cameroon"
1219,"2020-12","Canada"
12,"2020-07","Central_African_Republic"
0,"2020-04","Central_African_Republic"
8,"2020-09","Chad"
1198,"2020-11","Chile"
264,"2020-04","Colombia"
208,"2020-04","Chile"
0,"2020-11","China"
3,"2020-06","China"
5,"2020-09","Cote_dIvoire"
0,"2020-12","Comoros"
2,"2020-11","Congo"
8,"2020-03","Democratic_Republic_of_the_Congo"
98,"2020-12","Denmark"
69,"2020-10","Denmark"
0,"2020-08","Falkland_Islands_(Malvinas)"
0,"2020-04","Greenland"
5,"2020-12","Guam"
13397,"2020-11","Iran"
4524,"2020-09","Iran"
0,"2020-09","Faroe_Islands"
0,"2020-11","Fiji"
32,"2020-10","Guam"
31,"2020-06","Djibouti"
20,"2020-05","Djibouti"
873,"2020-08","Guatemala"
0,"2020-06","Dominica"
0,"2020-05","Dominica"
0,"2020-06","Guernsey"
0,"2020-05","Guernsey"
1644,"2020-06","Iraq"
103,"2020-05","Iraq"
46,"2020-04","Iraq"
0,"2020-02","Iraq"
144,"2020-11","Ireland"
235,"2020-06","Dominican_Republic"
4672,"2020-10","France"
1042,"2020-06","France"
0,"2020-03","Guernsey"
6,"2020-10","Guinea"
7,"2020-09","Guinea"
0,"2020-03","Isle_of_Man"
105,"2020-12","Israel"
986,"2020-10","Israel"
0,"2020-01","France"
7,"2020-04","Guinea"
0,"2020-03","Guinea"
8,"2020-08","Guinea_Bissau"
5,"2020-07","Guinea_Bissau"
7,"2020-05","Guinea_Bissau"
2451,"2020-05","Ecuador"
0,"2020-03","French_Polynesia"
1,"2020-04","Guinea_Bissau"
46,"2020-10","Guyana"
344,"2020-10","Egypt"
25,"2020-06","Gabon"
2,"2020-04","Gabon"
13,"2020-04","Cote_dIvoire"
1,"2020-03","Cote_dIvoire"
40,"2020-03","Egypt"
0,"2020-03","Haiti"
61,"2020-04","Croatia"
6,"2020-11","Cuba"
14,"2020-09","Georgia"
2,"2020-08","Georgia"
2,"2020-07","Georgia"
0,"2020-03","Holy_See"
827,"2020-07","Honduras"
3,"2020-06","Cuba"
32,"2020-08","Equatorial_Guinea"
64,"2020-04","Honduras"
3073,"2020-11","Hungary"
0,"2020-06","Curaçao"
3,"2020-11","Ghana"
212,"2020-05","Hungary"
296,"2020-04","Hungary"
0,"2020-07","Cyprus"
25,"2020-09","Ghana"
5,"2020-03","Ghana"
8,"2020-04","Iceland"
35,"2020-07","Czechia"
17,"2020-09","Eswatini"
0,"2020-09","Gibraltar"
0,"2020-05","Gibraltar"
0,"2020-04","Gibraltar"
0,"2020-02","Iceland"
18854,"2020-07","India"
19,"2020-12","Democratic_Republic_of_the_Congo"
236,"2020-11","Ethiopia"
1696,"2020-12","Indonesia"
154,"2020-11","Luxembourg"
28,"2020-10","Luxembourg"
24,"2020-04","Kazakhstan"
38,"2020-09","Madagascar"
0,"2020-11","Montserrat"
10,"2020-09","Norway"
133,"2020-09","Kenya"
85,"2020-07","Madagascar"
1,"2020-11","Malawi"
1,"2020-05","Malawi"
33,"2020-03","Morocco"
9,"2020-05","Kosovo"
4,"2020-06","Mozambique"
278,"2020-09","Myanmar"
1647,"2020-07","Pakistan"
9,"2020-11","Maldives"
0,"2020-03","Myanmar"
195,"2020-12","Nepal"
372,"2020-11","Panama"
6,"2020-09","Kyrgyzstan"
9,"2020-07","Mali"
23,"2020-07","Nepal"
6,"2020-05","Nepal"
0,"2020-02","Nepal"
8,"2020-05","Kyrgyzstan"
39,"2020-06","Mali"
0,"2020-03","Mali"
74,"2020-11","Malta"
951,"2020-10","Netherlands"
3,"2020-06","Palestine"
3,"2020-05","Palestine"
5,"2020-05","Malta"
0,"2020-11","Marshall_Islands"
1240,"2020-05","Netherlands"
69,"2020-05","Israel"
0,"2020-01","Israel"
178,"2020-12","Lebanon"
30,"2020-07","Mauritania"
5658,"2020-05","Italy"
8,"2020-10","Lesotho"
7,"2020-04","Mauritius"
0,"2020-02","New_Zealand"
0,"2020-01","Italy"
13,"2020-07","Lesotho"
0,"2020-09","Liberia"
1,"2020-11","Niger"
191,"2020-10","Japan"
112,"2020-12","Libya"
28,"2020-03","Mexico"
0,"2020-02","Mexico"
524,"2020-11","Moldova"
33,"2020-07","Japan"
53,"2020-03","Japan"
13,"2020-11","Liechtenstein"
1,"2020-11","Monaco"
222,"2020-05","Nigeria"
0,"2020-09","Jersey"
0,"2020-06","Monaco"
0,"2020-02","Nigeria"
2,"2020-03","Jersey"
1922,"2020-11","Jordan"
7,"2020-03","Lithuania"
0,"2020-04","Mongolia"
182,"2020-07","North_Macedonia"
0,"2020-06","Jordan"
33,"2020-05","Senegal"
6,"2020-10","Sri_Lanka"
652,"2020-08","Turkey"
407,"2020-05","Portugal"
274,"2020-11","Puerto_Rico"
0,"2020-01","Sri_Lanka"
20,"2020-06","Puerto_Rico"
0,"2020-09","Seychelles"
153,"2020-07","Sudan"
0,"2020-05","Turks_and_Caicos_islands"
3,"2020-12","Qatar"
77,"2020-06","Qatar"
0,"2020-07","Seychelles"
0,"2020-05","Seychelles"
0,"2020-12","Suriname"
6,"2020-11","Suriname"
0,"2019-12","Qatar"
1,"2020-11","Singapore"
70,"2020-08","Sweden"
265,"2020-07","Sweden"
11,"2020-04","Singapore"
4157,"2020-10","United_Kingdom"
573,"2020-09","United_Kingdom"
0,"2020-02","Romania"
0,"2020-06","Sint_Maarten"
13,"2020-04","Sint_Maarten"
22,"2020-07","Switzerland"
37,"2020-12","United_Arab_Emirates"
0,"2020-06","Slovakia"
295,"2020-03","Switzerland"
1,"2020-05","Rwanda"
26,"2020-03","Panama"
3,"2020-08","Papua_New_Guinea"
0,"2020-07","Saint_Kitts_and_Nevis"
2,"2020-12","Saint_Lucia"
2,"2020-12","Tajikistan"
546,"2020-10","Paraguay"
2,"2020-11","Saint_Lucia"
0,"2020-03","Somalia"
621,"2020-12","Peru"
2563,"2020-10","South_Africa"
1,"2020-06","Thailand"
0,"2020-10","San_Marino"
51,"2020-10","South_Korea"
0,"2020-09","Timor_Leste"
